what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331716414696
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1331716416755
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1331716416767
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1331716416842
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1331716416843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1331716418919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716423802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716437763
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331716437769
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331716462764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1331716464457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716468001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716483418
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331716483425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716559260
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331716670487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716860311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331716860960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331717064099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331717147336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331717148925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331717151413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331717213105
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331717217535
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331717218077
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331717218353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331717223047
