what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331742888796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331742891760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331742900075
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331742900091
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331743104329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743154104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743167035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1331743282093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331743283918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1331743286446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331743288787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331743424194
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1331743432278
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331743442209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331743442225
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331743442474
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331743442676
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331743444761
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331743466569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331743473223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743475966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743477501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743478452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331743491620
